product_id,title,description,brand,category,product_type,price
B0000000,Apple Portable Black Stand,High quality stand from Apple. Perfect for daily use with computers devices.,Apple,Computers,stand,341.58
B0000001,Samsung Wireless White Equipment,High quality equipment from Samsung. Perfect for daily use with tools & home improvement devices.,Samsung,Tools & Home Improvement,equipment,257.62
B0000002,Aukey Speakers,High quality speakers from AUKEY. Perfect for daily use with electronics devices.,AUKEY,Electronics,speakers,215.56
B0000003,Ravpower White Adapter,High quality adapter from RAVPower. Perfect for daily use with automotive devices.,RAVPower,Automotive,adapter,352.09
B0000004,Dell Universal Black Fitness Tracker,High quality fitness tracker from Dell. Perfect for daily use with sports & outdoors devices.,Dell,Sports & Outdoors,fitness tracker,196.16
B0000005,Logitech Wireless Equipment,High quality equipment from Logitech. Perfect for daily use with sports & outdoors devices.,Logitech,Sports & Outdoors,equipment,272.75
B0000006,Samsung Heavy Duty Scale,High quality scale from Samsung. Perfect for daily use with health & personal care devices.,Samsung,Health & Personal Care,scale,432.24
B0000007,Hp Portable Organizer,High quality organizer from HP. Perfect for daily use with office products devices.,HP,Office Products,organizer,492.76
B0000008,Samsung Heavy Duty Holder,High quality holder from Samsung. Perfect for daily use with accessories devices.,Samsung,Accessories,holder,89.7
B0000009,Hp Heavy Duty Equipment,High quality equipment from HP. Perfect for daily use with sports & outdoors devices.,HP,Sports & Outdoors,equipment,308.47
B0000010,Aukey Professional Red Cable,High quality cable from AUKEY. Perfect for daily use with cell phones devices.,AUKEY,Cell Phones,cable,117.61
B0000011,Jbl Wireless Fitness Tracker,High quality fitness tracker from JBL. Perfect for daily use with sports & outdoors devices.,JBL,Sports & Outdoors,fitness tracker,206.57
B0000012,Hp Silver Webcam,High quality webcam from HP. Perfect for daily use with computers devices.,HP,Computers,webcam,203.86
B0000013,Sony Heavy Duty Adapter,High quality adapter from Sony. Perfect for daily use with automotive devices.,Sony,Automotive,adapter,138.74
B0000014,Anker Portable Desk,High quality desk from Anker. Perfect for daily use with office products devices.,Anker,Office Products,desk,77.78
B0000015,Samsung White Charger,High quality charger from Samsung. Perfect for daily use with automotive devices.,Samsung,Automotive,charger,398.12
B0000016,Ravpower Compact Tracker,High quality tracker from RAVPower. Perfect for daily use with health & personal care devices.,RAVPower,Health & Personal Care,tracker,269.27
B0000017,Apple Equipment,High quality equipment from Apple. Perfect for daily use with tools & home improvement devices.,Apple,Tools & Home Improvement,equipment,273.12
B0000018,Jbl Professional Black Organizer,High quality organizer from JBL. Perfect for daily use with home & kitchen devices.,JBL,Home & Kitchen,organizer,477.37
B0000019,Aukey Wireless Water Bottle,High quality water bottle from AUKEY. Perfect for daily use with home & kitchen devices.,AUKEY,Home & Kitchen,water bottle,156.24
B0000020,Ravpower Universal Red Organizer,High quality organizer from RAVPower. Perfect for daily use with tools & home improvement devices.,RAVPower,Tools & Home Improvement,organizer,460.06
B0000021,Logitech Premium Chair,High quality chair from Logitech. Perfect for daily use with office products devices.,Logitech,Office Products,chair,417.52
B0000022,Hp Compact Coffee Maker,High quality coffee maker from HP. Perfect for daily use with home & kitchen devices.,HP,Home & Kitchen,coffee maker,51.97
B0000023,Samsung Professional Mount,High quality mount from Samsung. Perfect for daily use with automotive devices.,Samsung,Automotive,mount,90.91
B0000024,Ravpower Storage,High quality storage from RAVPower. Perfect for daily use with tools & home improvement devices.,RAVPower,Tools & Home Improvement,storage,380.08
B0000025,Bose Heavy Duty Case,High quality case from Bose. Perfect for daily use with accessories devices.,Bose,Accessories,case,224.67
B0000026,Amazonbasics Wireless Red Organizer,High quality organizer from AmazonBasics. Perfect for daily use with tools & home improvement devices.,AmazonBasics,Tools & Home Improvement,organizer,281.42
B0000027,Hp Heavy Duty Black Organizer,High quality organizer from HP. Perfect for daily use with office products devices.,HP,Office Products,organizer,453.66
B0000028,Samsung Heavy Duty Equipment,High quality equipment from Samsung. Perfect for daily use with sports & outdoors devices.,Samsung,Sports & Outdoors,equipment,274.22
B0000029,Ravpower Professional Chair,High quality chair from RAVPower. Perfect for daily use with office products devices.,RAVPower,Office Products,chair,103.3
B0000030,Jabra Professional Monitor,High quality monitor from Jabra. Perfect for daily use with computers devices.,Jabra,Computers,monitor,367.25
B0000031,Apple Monitor,High quality monitor from Apple. Perfect for daily use with computers devices.,Apple,Computers,monitor,63.54
B0000032,Hp Professional Silver Mount,High quality mount from HP. Perfect for daily use with accessories devices.,HP,Accessories,mount,132.41
B0000033,Amazonbasics Hub,High quality hub from AmazonBasics. Perfect for daily use with computers devices.,AmazonBasics,Computers,hub,34.79
B0000034,Apple Organizer,High quality organizer from Apple. Perfect for daily use with tools & home improvement devices.,Apple,Tools & Home Improvement,organizer,91.49
B0000035,Amazonbasics Mount,High quality mount from AmazonBasics. Perfect for daily use with automotive devices.,AmazonBasics,Automotive,mount,90.67
B0000036,Anker Charger,High quality charger from Anker. Perfect for daily use with electronics devices.,Anker,Electronics,charger,149.77
B0000037,Jabra Portable Black Equipment,High quality equipment from Jabra. Perfect for daily use with tools & home improvement devices.,Jabra,Tools & Home Improvement,equipment,293.8
B0000038,Apple Wireless Equipment,High quality equipment from Apple. Perfect for daily use with tools & home improvement devices.,Apple,Tools & Home Improvement,equipment,256.4
B0000039,Sony White Organizer,High quality organizer from Sony. Perfect for daily use with tools & home improvement devices.,Sony,Tools & Home Improvement,organizer,43.58
B0000040,Jabra Wireless Hub,High quality hub from Jabra. Perfect for daily use with computers devices.,Jabra,Computers,hub,289.14
B0000041,Ravpower Organizer,High quality organizer from RAVPower. Perfect for daily use with office products devices.,RAVPower,Office Products,organizer,296.0
B0000042,Logitech Heavy Duty Blue Storage,High quality storage from Logitech. Perfect for daily use with tools & home improvement devices.,Logitech,Tools & Home Improvement,storage,203.94
B0000043,Amazonbasics Organizer,High quality organizer from AmazonBasics. Perfect for daily use with home & kitchen devices.,AmazonBasics,Home & Kitchen,organizer,14.56
B0000044,Ravpower Portable Organizer,High quality organizer from RAVPower. Perfect for daily use with office products devices.,RAVPower,Office Products,organizer,74.9
B0000045,Samsung Portable Fitness Tracker,High quality fitness tracker from Samsung. Perfect for daily use with sports & outdoors devices.,Samsung,Sports & Outdoors,fitness tracker,276.18
B0000046,Ravpower Coffee Maker,High quality coffee maker from RAVPower. Perfect for daily use with home & kitchen devices.,RAVPower,Home & Kitchen,coffee maker,466.56
B0000047,Sony Wireless Keyboard,High quality keyboard from Sony. Perfect for daily use with computers devices.,Sony,Computers,keyboard,86.17
B0000048,Ravpower Blue Water Bottle,High quality water bottle from RAVPower. Perfect for daily use with home & kitchen devices.,RAVPower,Home & Kitchen,water bottle,257.65
B0000049,Apple Coffee Maker,High quality coffee maker from Apple. Perfect for daily use with home & kitchen devices.,Apple,Home & Kitchen,coffee maker,31.6
B0000050,Jbl Silver Fitness Tracker,High quality fitness tracker from JBL. Perfect for daily use with sports & outdoors devices.,JBL,Sports & Outdoors,fitness tracker,280.32
B0000051,Aukey Heavy Duty Tracker,High quality tracker from AUKEY. Perfect for daily use with health & personal care devices.,AUKEY,Health & Personal Care,tracker,277.34
B0000052,Ravpower Portable Blue Equipment,High quality equipment from RAVPower. Perfect for daily use with sports & outdoors devices.,RAVPower,Sports & Outdoors,equipment,450.5
B0000053,Logitech Speakers,High quality speakers from Logitech. Perfect for daily use with electronics devices.,Logitech,Electronics,speakers,183.3
B0000054,Anker Equipment,High quality equipment from Anker. Perfect for daily use with tools & home improvement devices.,Anker,Tools & Home Improvement,equipment,126.0
B0000055,Jbl Blue Screen Protector,High quality screen protector from JBL. Perfect for daily use with cell phones devices.,JBL,Cell Phones,screen protector,393.37
B0000056,Jbl Scale,High quality scale from JBL. Perfect for daily use with health & personal care devices.,JBL,Health & Personal Care,scale,140.73
B0000057,Anker Professional Silver Hub,High quality hub from Anker. Perfect for daily use with computers devices.,Anker,Computers,hub,181.33
B0000058,Hp Blue Cable,High quality cable from HP. Perfect for daily use with accessories devices.,HP,Accessories,cable,433.53
B0000059,Logitech Storage,High quality storage from Logitech. Perfect for daily use with home & kitchen devices.,Logitech,Home & Kitchen,storage,172.26
B0000060,Samsung Premium Red Charger,High quality charger from Samsung. Perfect for daily use with electronics devices.,Samsung,Electronics,charger,222.94
B0000061,Anker Red Equipment,High quality equipment from Anker. Perfect for daily use with sports & outdoors devices.,Anker,Sports & Outdoors,equipment,103.14
B0000062,Bose Universal Cable,High quality cable from Bose. Perfect for daily use with electronics devices.,Bose,Electronics,cable,362.52
B0000063,Logitech Heavy Duty Holder,High quality holder from Logitech. Perfect for daily use with accessories devices.,Logitech,Accessories,holder,315.35
B0000064,Bose Heavy Duty Keyboard,High quality keyboard from Bose. Perfect for daily use with computers devices.,Bose,Computers,keyboard,207.18
B0000065,Aukey Heavy Duty Water Bottle,High quality water bottle from AUKEY. Perfect for daily use with home & kitchen devices.,AUKEY,Home & Kitchen,water bottle,341.89
B0000066,Ravpower Compact Holder,High quality holder from RAVPower. Perfect for daily use with cell phones devices.,RAVPower,Cell Phones,holder,158.9
B0000067,Anker Silver Mount,High quality mount from Anker. Perfect for daily use with accessories devices.,Anker,Accessories,mount,226.66
B0000068,Aukey Holder,High quality holder from AUKEY. Perfect for daily use with accessories devices.,AUKEY,Accessories,holder,370.62
B0000069,Dell Webcam,High quality webcam from Dell. Perfect for daily use with computers devices.,Dell,Computers,webcam,55.76
B0000070,Jabra Portable Black Case,High quality case from Jabra. Perfect for daily use with accessories devices.,Jabra,Accessories,case,129.97
B0000071,Ravpower Heavy Duty Charger,High quality charger from RAVPower. Perfect for daily use with automotive devices.,RAVPower,Automotive,charger,361.99
B0000072,Amazonbasics Heavy Duty Monitor,High quality monitor from AmazonBasics. Perfect for daily use with health & personal care devices.,AmazonBasics,Health & Personal Care,monitor,447.4
B0000073,Jbl Universal Monitor,High quality monitor from JBL. Perfect for daily use with computers devices.,JBL,Computers,monitor,263.8
B0000074,Aukey White Speakers,High quality speakers from AUKEY. Perfect for daily use with electronics devices.,AUKEY,Electronics,speakers,402.69
B0000075,Aukey Universal Equipment,High quality equipment from AUKEY. Perfect for daily use with tools & home improvement devices.,AUKEY,Tools & Home Improvement,equipment,310.2
B0000076,Anker Portable Equipment,High quality equipment from Anker. Perfect for daily use with tools & home improvement devices.,Anker,Tools & Home Improvement,equipment,242.59
B0000077,Jbl Red Water Bottle,High quality water bottle from JBL. Perfect for daily use with home & kitchen devices.,JBL,Home & Kitchen,water bottle,247.45
B0000078,Dell Premium Blue Holder,High quality holder from Dell. Perfect for daily use with accessories devices.,Dell,Accessories,holder,166.66
B0000079,Samsung Professional Organizer,High quality organizer from Samsung. Perfect for daily use with tools & home improvement devices.,Samsung,Tools & Home Improvement,organizer,356.15
B0000080,Anker Professional Monitor,High quality monitor from Anker. Perfect for daily use with computers devices.,Anker,Computers,monitor,111.35
B0000081,Anker Red Scale,High quality scale from Anker. Perfect for daily use with health & personal care devices.,Anker,Health & Personal Care,scale,196.39
B0000082,Logitech Charger,High quality charger from Logitech. Perfect for daily use with electronics devices.,Logitech,Electronics,charger,477.18
B0000083,Aukey Scale,High quality scale from AUKEY. Perfect for daily use with health & personal care devices.,AUKEY,Health & Personal Care,scale,449.93
B0000084,Hp Wireless Silver Adapter,High quality adapter from HP. Perfect for daily use with automotive devices.,HP,Automotive,adapter,364.85
B0000085,Sony Charger,High quality charger from Sony. Perfect for daily use with automotive devices.,Sony,Automotive,charger,334.87
B0000086,Jabra Professional Blue Monitor,High quality monitor from Jabra. Perfect for daily use with computers devices.,Jabra,Computers,monitor,195.76
B0000087,Amazonbasics Professional Silver Case,High quality case from AmazonBasics. Perfect for daily use with accessories devices.,AmazonBasics,Accessories,case,133.61
B0000088,Amazonbasics Blue Laptop,High quality laptop from AmazonBasics. Perfect for daily use with computers devices.,AmazonBasics,Computers,laptop,119.87
B0000089,Jbl Wireless Stand,High quality stand from JBL. Perfect for daily use with computers devices.,JBL,Computers,stand,107.69
B0000090,Ravpower Professional Speakers,High quality speakers from RAVPower. Perfect for daily use with electronics devices.,RAVPower,Electronics,speakers,286.35
B0000091,Amazonbasics Premium Red Organizer,High quality organizer from AmazonBasics. Perfect for daily use with accessories devices.,AmazonBasics,Accessories,organizer,482.23
B0000092,Jbl Premium Black Hub,High quality hub from JBL. Perfect for daily use with computers devices.,JBL,Computers,hub,465.15
B0000093,Jabra Heavy Duty Red Chair,High quality chair from Jabra. Perfect for daily use with office products devices.,Jabra,Office Products,chair,348.4
B0000094,Samsung Organizer,High quality organizer from Samsung. Perfect for daily use with accessories devices.,Samsung,Accessories,organizer,304.2
B0000095,Jbl Silver Webcam,High quality webcam from JBL. Perfect for daily use with computers devices.,JBL,Computers,webcam,334.15
B0000096,Aukey Universal Stand,High quality stand from AUKEY. Perfect for daily use with computers devices.,AUKEY,Computers,stand,250.2
B0000097,Logitech Scale,High quality scale from Logitech. Perfect for daily use with health & personal care devices.,Logitech,Health & Personal Care,scale,84.97
B0000098,Bose Red Holder,High quality holder from Bose. Perfect for daily use with cell phones devices.,Bose,Cell Phones,holder,389.57
B0000099,Anker Portable Adapter,High quality adapter from Anker. Perfect for daily use with automotive devices.,Anker,Automotive,adapter,52.46
B0000100,Hp Heavy Duty Black Cable,High quality cable from HP. Perfect for daily use with automotive devices.,HP,Automotive,cable,252.21
B0000101,Sony Universal Blue Water Bottle,High quality water bottle from Sony. Perfect for daily use with sports & outdoors devices.,Sony,Sports & Outdoors,water bottle,441.36
B0000102,Aukey Portable Silver Coffee Maker,High quality coffee maker from AUKEY. Perfect for daily use with home & kitchen devices.,AUKEY,Home & Kitchen,coffee maker,249.4
B0000103,Bose Holder,High quality holder from Bose. Perfect for daily use with accessories devices.,Bose,Accessories,holder,398.54
B0000104,Dell Portable Red Mouse,High quality mouse from Dell. Perfect for daily use with computers devices.,Dell,Computers,mouse,190.82
B0000105,Aukey Heavy Duty Storage,High quality storage from AUKEY. Perfect for daily use with tools & home improvement devices.,AUKEY,Tools & Home Improvement,storage,182.39
B0000106,Dell Wireless Adapter,High quality adapter from Dell. Perfect for daily use with automotive devices.,Dell,Automotive,adapter,164.62
