query_id,query,product_id,esci_label,relevance
Q000000,portable monitor,B0009229,0,0
Q000000,portable monitor,B0013235,0,0
Q000000,portable monitor,B0015759,0,0
Q000000,portable monitor,B0002019,0,0
Q000000,portable monitor,B0003385,0,0
Q000000,portable monitor,B0000170,0,0
Q000000,portable monitor,B0018681,0,0
Q000000,portable monitor,B0001539,0,0
Q000000,portable monitor,B0003980,0,0
Q000000,portable monitor,B0012344,0,0
Q000000,portable monitor,B0001250,0,0
Q000000,portable monitor,B0019638,0,0
Q000000,portable monitor,B0007892,0,0
Q000000,portable monitor,B0011718,0,0
Q000000,portable monitor,B0003424,0,0
Q000000,portable monitor,B0017885,0,0
Q000000,portable monitor,B0011068,0,0
Q000000,portable monitor,B0005809,1,1
Q000000,portable monitor,B0016035,0,0
Q000000,portable monitor,B0017627,0,0
Q000000,portable monitor,B0015391,0,0
Q000000,portable monitor,B0011881,0,0
Q000000,portable monitor,B0002047,0,0
Q000000,portable monitor,B0009140,0,0
Q000000,portable monitor,B0006259,0,0
Q000000,portable monitor,B0019631,0,0
Q000000,portable monitor,B0003736,0,0
Q000000,portable monitor,B0010055,0,0
Q000000,portable monitor,B0018360,0,0
Q000000,portable monitor,B0016852,0,0
Q000000,portable monitor,B0008562,0,0
Q000000,portable monitor,B0014025,0,0
Q000000,portable monitor,B0016301,0,0
Q000000,portable monitor,B0005198,0,0
Q000000,portable monitor,B0016084,1,1
Q000000,portable monitor,B0013679,0,0
Q000000,portable monitor,B0002014,0,0
Q000000,portable monitor,B0001299,0,0
Q000000,portable monitor,B0005583,1,1
Q000000,portable monitor,B0004631,0,0
Q000000,portable monitor,B0001208,0,0
Q000000,portable monitor,B0012722,1,1
Q000000,portable monitor,B0011454,0,0
Q000000,portable monitor,B0006432,0,0
Q000000,portable monitor,B0018636,0,0
Q000000,portable monitor,B0007541,0,0
Q000000,portable monitor,B0018933,0,0
Q000000,portable monitor,B0014478,0,0
Q000000,portable monitor,B0005725,0,0
Q000000,portable monitor,B0010211,0,0
Q000001,sony case,B0011843,0,0
Q000001,sony case,B0013579,0,0
Q000001,sony case,B0006102,0,0
Q000001,sony case,B0017383,2,1
Q000001,sony case,B0009748,2,1
Q000001,sony case,B0005132,0,0
Q000001,sony case,B0014873,0,0
Q000001,sony case,B0018398,0,0
Q000001,sony case,B0015008,0,0
Q000001,sony case,B0010135,0,0
Q000001,sony case,B0015442,0,0
Q000001,sony case,B0014692,0,0
Q000001,sony case,B0011407,0,0
Q000001,sony case,B0011689,0,0
Q000001,sony case,B0012691,0,0
Q000001,sony case,B0014224,0,0
Q000001,sony case,B0017454,2,1
Q000001,sony case,B0003369,2,1
Q000001,sony case,B0009853,0,0
Q000001,sony case,B0013397,0,0
Q000001,sony case,B0002703,0,0
Q000001,sony case,B0014672,0,0
Q000001,sony case,B0000239,0,0
Q000001,sony case,B0010185,0,0
Q000001,sony case,B0018109,0,0
Q000001,sony case,B0010565,0,0
Q000001,sony case,B0009847,0,0
Q000001,sony case,B0007015,0,0
Q000001,sony case,B0012010,0,0
Q000001,sony case,B0003140,0,0
Q000001,sony case,B0002901,0,0
Q000001,sony case,B0011898,0,0
Q000001,sony case,B0017206,0,0
Q000001,sony case,B0015717,0,0
Q000002,silver headphones,B0003671,0,0
Q000002,silver headphones,B0013629,0,0
Q000002,silver headphones,B0004284,0,0
Q000002,silver headphones,B0015680,0,0
Q000002,silver headphones,B0010336,0,0
Q000002,silver headphones,B0005225,0,0
Q000002,silver headphones,B0000200,0,0
Q000002,silver headphones,B0008946,0,0
Q000002,silver headphones,B0005159,0,0
Q000002,silver headphones,B0011717,0,0
Q000002,silver headphones,B0017828,0,0
Q000002,silver headphones,B0009075,0,0
Q000002,silver headphones,B0011934,0,0
Q000002,silver headphones,B0004851,0,0
Q000002,silver headphones,B0003166,1,1
Q000002,silver headphones,B0009727,0,0
Q000002,silver headphones,B0019201,0,0
Q000002,silver headphones,B0015685,0,0
Q000002,silver headphones,B0013112,0,0
Q000002,silver headphones,B0016177,0,0
Q000002,silver headphones,B0004413,0,0
Q000002,silver headphones,B0013744,0,0
Q000002,silver headphones,B0006611,0,0
Q000002,silver headphones,B0004943,0,0
